category,item_title,item_price,item_info,item_url
-----,-----,-----,-----,-----
Apple,JISONCASE Apple Pencil 筆帽+筆身+筆尖保護套,$380,"‧．保護筆尖攜帶時不受損傷
‧．經典六邊鉛筆造型
‧．精選材質，觸感舒適",https://tw.buy.yahoo.com/gdsale/JISONCASE-Apple-Pencil-筆帽-7736464.html
Apple,VXTRA iPad mini/mini2/mini3 北歐鹿紋風格平板皮套,$399,"‧精選耐看圖樣，表面防潑水真貼心 
‧可調式防滑支架，完美體驗影音饗宴 
‧內部硬殼好裝不鬆，耐用度加倍
‧適用型號為 APPLE iPad mini/mini2/mini3",https://tw.buy.yahoo.com/gdsale/VXTRA-iPad-mini-mini2-min-7395154.html
攝影空拍,SONY數位攝影機HDR-CX450 記憶組(公司貨),"$16,980","‧BIONZ X 影像處理器
‧光學防手震功能(5 軸智慧型進階模式)
‧高速智慧自動對焦
‧縮時攝影
‧精選影片編輯，簡單製作短片並直接分享
‧內含原廠專用攝影包(LCS-U5)",https://tw.buy.yahoo.com/gdsale/SONY數位攝影機HDR-CX450-公司貨--7272664.html
攝影空拍,SONY數位攝影機HDR-CX405(公司貨),"$10,900","‧BIONZ X 影像處理器
‧光學防手震
‧XAVC S 錄影格式，可拍攝高清晰度影片
‧精選影片編輯，簡單製作短片並直接分享",https://tw.buy.yahoo.com/gdsale/快-SONY數位攝影機HDR-CX405-公司貨--5706320.html
行動電源,台灣製造 正版授權 超萌SNOOPY 金屬邊框玻璃面無線充電盤,$990,"‧精選玻璃面板 優質金屬烤漆邊框
‧0-6mm充電感應拒離 手機輕放立即充電
‧充飽電自動停止供電，保護手機不過充",https://tw.buy.yahoo.com/gdsale/台灣製造-正版授權-超萌SNOOPY-金屬邊框玻璃-7898938.html
美容家電,國際牌Panasonic奈米水離子吹風機 EH-NA27(二色任選),"$1,782","‧nanoe奈米水離子技術,保濕水潤更勝負離子
‧二色任選,粉紅色與白色
‧輕量化設計,大風力1400W
‧速乾吹嘴，均勻快速吹髮
‧保濕不毛躁
‧國際牌NA27吹風機玫瑰粉與白色 任選
‧如需免費禮物精選包裝,請勾選加購商品0元",https://tw.buy.yahoo.com/gdsale/國際牌Panasonic奈米水離子吹風機-EH-N-6215826.html
美容家電,國際牌Panasonic奈米水離子吹風機EH-NA45(兩色選),"$2,950","‧熱銷人氣超夯吹風機
‧
奈米水離子加強保濕
‧
白金負離子減低紫外線對頭髮的傷害
‧
雙重呵護一機搞定
‧如需免費禮物精選包裝,請勾選加購商品0元",https://tw.buy.yahoo.com/gdsale/國際牌Panasonic奈米水離子吹風機EH-NA-6274815.html
按摩家電,【clarisonic 科萊麗】 Mia Smart 音波智能美顏儀(白)(精選組),"$9,500","‧智能美容儀器- 藍芽連線手機APP，一機多用
‧1. 共振清潔，深入找回肌膚本質
‧2. 音波按摩，全面緊實臉部輪廓
‧3. 智能彩妝，快省勻稱完美妝感",https://tw.buy.yahoo.com/gdsale/clarisonic-科萊麗-Mia-Smart--7953117.html
冰箱,任-巨揚 溫州大餛飩(10顆/盒),$130,"‧使用新鮮現宰溫體豬肉 由胛心肉+精選後腿豬肉
‧配上薄薄的外皮，美味十足
‧TVBS-G食尚玩家、自由時報南部美食",https://tw.buy.yahoo.com/gdsale/任-巨揚-溫州大餛飩-10顆-盒--7646421.html
DIY組件,TEAM十銓 ELITE 8GB DDR3 1600 桌上型記憶體,"$1,350","‧十銓(Team) Elite 系列 
‧精選顆粒記憶體模組 
‧終生保固 
‧超高相容性/低電壓",https://tw.buy.yahoo.com/gdsale/TEAM十銓-ELITE-8GB-DDR3-160-7811120.html
平板/配件,VXTRA iPad 2018 9.7吋 北歐鹿紋風格平板皮套,$399,"‧精選耐看圖樣，表面防潑水真貼心 
‧可調式防滑支架，完美體驗影音饗宴 
‧內部硬殼好裝不鬆，耐用度加倍",https://tw.buy.yahoo.com/gdsale/VXTRA-iPad-2018-9-7吋-北歐鹿紋-7727218.html
平板/配件,VXTRA iPad mini/mini2/mini3 北歐鹿紋風格平板皮套,$399,"‧精選耐看圖樣，表面防潑水真貼心 
‧可調式防滑支架，完美體驗影音饗宴 
‧內部硬殼好裝不鬆，耐用度加倍
‧適用型號為 APPLE iPad mini/mini2/mini3",https://tw.buy.yahoo.com/gdsale/VXTRA-iPad-mini-mini2-min-7395154.html
平板/配件,VXTRA iPad Pro 10.5吋 北歐鹿紋風格平板皮套 防潑水立架保護套,$399,"‧精選耐看圖樣，表面防潑水真貼心 
‧可調式防滑支架，完美體驗影音饗宴 
‧內部硬殼好裝不鬆，耐用度加倍
‧適用型號為 APPLE iPad Pro 10.5吋",https://tw.buy.yahoo.com/gdsale/VXTRA-iPad-Pro-10-5吋-北歐鹿紋-7286604.html
平板/配件,VXTRA iPad mini 4 北歐鹿紋風格平板皮套 防潑水立架保護套,$399,"‧精選耐看圖樣，表面防潑水真貼心 
‧可調式防滑支架，完美體驗影音饗宴 
‧內部硬殼好裝不鬆，耐用度加倍
‧適用型號為 APPLE ipad Air 2",https://tw.buy.yahoo.com/gdsale/VXTRA-iPad-mini-4-北歐鹿紋風格平-7287556.html
平板/配件,VXTRA iPad 2/3/4 北歐鹿紋風格平板皮套 防潑水立架保護套,$399,"‧精選耐看圖樣，表面防潑水真貼心 
‧可調式防滑支架，完美體驗影音饗宴
‧內部硬殼好裝不鬆，耐用度加倍
‧適用型號為 APPLE iPad 2/3/4",https://tw.buy.yahoo.com/gdsale/VXTRA-iPad-2-3-4-北歐鹿紋風格平板-7286014.html
平板/配件,VXTRA ipad Air 北歐鹿紋風格平板皮套 防潑水立架保護套,$399,"‧精選耐看圖樣，表面防潑水真貼心 
‧可調式防滑支架，完美體驗影音饗宴 
‧內部硬殼好裝不鬆，耐用度加倍
‧適用型號為 APPLE ipad Air",https://tw.buy.yahoo.com/gdsale/VXTRA-ipad-Air-北歐鹿紋風格平板皮套-7286013.html
包包,JJLKIDS 香水包包花苞袖純棉上衣(2色),$199,"‧獨特花苞袖設計
‧精選棉布料，提升舒適度
‧搭配褲裝裙裝展現高質感",https://tw.buy.yahoo.com/gdsale/JJLKIDS-香水包包花苞袖純棉上衣-2色--7673787.html
包包,Aimer La Rue 素面百搭牛皮尼龍手提斜背包(黑色)(絕版出清),$790,"‧可手提單肩斜肩多種背法
‧超大容量可以方便收納
‧精選優質尼龍布料，防水耐髒",https://tw.buy.yahoo.com/gdsale/Aimer-La-Rue-素面百搭牛皮尼龍手提斜背-7946642.html
精品服飾,BURBERRY 精選服飾/配件↘瘋狂下殺$1999起,滿額滿件活動,‧,https://tw.buy.yahoo.com/gdsale/BURBERRY-精選服飾-配件-瘋狂下殺-199-6364524.html
鑽石,ides愛蒂思 精選設計款10分美鑽八心八箭車工鑽石戒指,"$9,900","‧品牌設計獨一無二不撞款
‧傳遞你的情守護你的愛
‧讓她感動瞬間成為永恆",https://tw.buy.yahoo.com/gdsale/ides愛蒂思-精選設計款10分美鑽八心八箭車工鑽-6436953.html
珍珠/水晶,石頭記 唯一的妳紅瑪瑙項鍊,"$2,034","‧品牌精選情人節禮物首選 
‧白鋼與瑪瑙的簡約風格設計 
‧送給自己和她一個唯1的紀念",https://tw.buy.yahoo.com/gdsale/石頭記-唯一的妳紅瑪瑙項鍊-6144506.html
精選品牌,SAMPO聲寶 迷你陶瓷式電暖器 HX-FB06P,$844,"‧全機防火材質
‧異常超溫斷電保護
‧傾倒自動斷電",https://tw.buy.yahoo.com/gdsale/SAMPO聲寶-迷你陶瓷式電暖器-HX-FB06P-6853047.html
精選品牌,Sodastream 二氧化碳交換補充鋼瓶425g,$650,"‧以來回件宅配到府
‧您須有空鋼瓶供交換滿鋼瓶
‧原產地以色列填充氣體
‧僅供Sodastream空鋼瓶交換，不收送其他品牌鋼瓶",https://tw.buy.yahoo.com/gdsale/Sodastream-二氧化碳交換補充鋼瓶425g-7005283.html
精選品牌,SAMPO聲寶 20公升機械式微波爐 RE-N620TR,"$1,990","‧微波出力700W
‧五段火力控制
‧旋轉裝置，微波均勻
‧好拉式開門省力把手",https://tw.buy.yahoo.com/gdsale/SAMPO聲寶-20公升機械式微波爐-RE-N62-6926071.html
精選品牌,SodaSparkle氣泡水機專用CO2鋼瓶-24入(買一送一) 快速到貨,$950,"‧專用食用級CO2填充氣瓶
‧採用低碳鋼環保材質
‧100%可回收再利用
‧一次性使用衛生品質看得見",https://tw.buy.yahoo.com/gdsale/SS-SC24X2-5417499.html
精選品牌,Panasonic國際牌25L微電腦微波爐 NN-ST34H,"$3,250","‧5段火力調整
‧快速30秒
‧時間設定
‧兒童安全鎖
‧9項自動烹調",https://tw.buy.yahoo.com/gdsale/Panasonic國際牌25L微電腦微波爐-NN--7479826.html
精選品牌,歌林xHello Kitty不挑鍋電子爐(KCS-MNR08),"$1,080","‧歌林X Hello Kitty聯名款
‧適用所有材質之平底鍋
‧續溫時間長，免重覆加熱
‧過熱自動斷電保護裝置
‧無電磁波，使用安心",https://tw.buy.yahoo.com/gdsale/歌林xHello-Kitty不挑鍋電子爐-KCS--5906541.html
精選品牌,綠恩家enegreen日式五合一小巧電火鍋 KHP-520T,$980,"‧過熱保護裝置
‧SGS認證為環保無毒材質
‧具備五段溫控設定
‧各種鍋具一應俱全",https://tw.buy.yahoo.com/gdsale/-4871416.html
精選品牌,SAMPO聲寶20公升機械式微波爐RE-N620TR,"$1,990","‧五段火力控制選擇
‧30分鐘定時控制方式
‧美觀握把，輕鬆好開啟",https://tw.buy.yahoo.com/gdsale/SAMPO聲寶20公升機械式微波爐RE-N620T-7911786.html
精選品牌,Panasonic國際牌25L微電腦微波爐 NN-ST34H,"$3,250","‧5段火力調整
‧快速30秒
‧時間設定
‧兒童安全鎖
‧9項自動烹調",https://tw.buy.yahoo.com/gdsale/Panasonic國際牌25L微電腦微波爐-NN--7479847.html
精選品牌,Panasonic 國際牌23公升光波燒烤變頻式微波爐 NN-C236,"$8,690","‧6段烹調火力
‧烘烤+燒烤+微波
‧30項自動烹調行程
‧創新變頻更省時
‧無轉盤設計，自動除臭功能",https://tw.buy.yahoo.com/gdsale/Panasonic-國際牌23公升光波燒烤變頻式微-5711187.html
精選品牌,Wanderlust+Co 澳洲品牌 新月金項鍊 雙層星星項鍊 CONSTELLATION,"$1,424","‧來自澳洲的潮牌Wanderlust+Co 手工製造
‧天馬行空的玩味風格 精緻時尚的金屬飾品
‧關注細節的設計 性感得恰到好處
‧全球IG時尚部落客的最愛 一定要擁有",https://tw.buy.yahoo.com/gdsale/Wanderlust-Co-澳洲品牌-新月金項鍊--7491615.html
精選品牌,Esense M150 影音DJ,"$1,511","‧◆高解析度1080P的多媒體播放器 
‧◆獨特斷點播放便利功能 
‧◆支援H.264編碼格式 
‧◆將您的客廳變身多媒體娛樂中心 
‧◆可透過光纖輸出，展現AC3 & DTS提供的完美音質",https://tw.buy.yahoo.com/gdsale/Esense-M150-影音DJ-7312615.html
精選品牌,Wanderlust+Co 澳洲品牌 新月金項鍊 北極星項鍊 CRESCENT STAR,"$1,424","‧來自澳洲的潮牌Wanderlust+Co 手工製造
‧天馬行空的玩味風格 精緻時尚的金屬飾品
‧關注細節的設計 性感得恰到好處
‧全球IG時尚部落客的最愛 一定要擁有",https://tw.buy.yahoo.com/gdsale/Wanderlust-Co-澳洲品牌-新月金項鍊--7596415.html
精選品牌,幸福台灣-發熱羊毛針織保暖圍脖(氣質灰)-台灣製造,"$1,321","‧羊毛針織材質，舒適保暖
‧USB發熱設計，環保方便，輕鬆連接
‧安全電壓，持續恆溫
‧使用柔軟布料，穿戴時沒有拘束感
‧可做圍脖、當帽子、當面罩，多功能保暖用途
‧可拆卸清洗",https://tw.buy.yahoo.com/gdsale/幸福台灣-發熱羊毛針織保暖圍脖-氣質灰-台灣製造-7858676.html
精選品牌,Cuisinart 美膳雅 液晶溫控多功能燒烤/煎烤器/帕尼尼機 GR-5NTW,"$3,980","‧數位式控制，精準掌握燒烤溫度
‧LCD中文顯示螢幕，可調節溫度和定時功能
‧高溫炙燒功能，自動2分鐘炙燒，230°C 的燒烤模式，鎖住肉質口感及肉汁
‧全燒烤、全煎烤、半烤半煎烤、壓烤及帕尼尼尼",https://tw.buy.yahoo.com/gdsale/Cuisinart-美膳雅-液晶溫控多功能燒烤-煎-7882561.html
精選品牌,元山觸控式濾淨不鏽鋼溫熱開飲機 YS-8301DWB,"$6,280","‧外殼及內膽採用#304不鏽鋼
‧蒸氣式給水技術喝不到生水
‧具有8小時省電休眠功能
‧大鏡面LCD觸控式平板面板
‧採分離式手提生水箱",https://tw.buy.yahoo.com/gdsale/元山觸控式濾淨不鏽鋼溫熱開飲機-YS-8301DW-6958451.html
精選品牌,元山 YS-8100RWF 免安裝移動式觸控雙溫飲水機(內置四道RO機),"$9,980","‧免鑽孔、免配管線、室內間任意配置
‧高效過濾四道快拆式濾心
‧SUS304不鏽鋼溫/熱內膽
‧LCD液晶觸控式面板
‧多種智慧省電模式",https://tw.buy.yahoo.com/gdsale/元山-YS-8100RWF-免安裝移動式觸控雙溫飲-7878156.html
精選品牌,AGFUN Box 智慧電視盒,"$1,321","‧-免月租免越獄無廣告無地區限制
-HDMI、AV端子、影音雙輸出
-支援超高畫質高解析度影片
-3個USB插槽最大器
-四核心界省電高效能處理器
-六軸空鼠遙控器，和wii體感零差異
-業界獨霸視訊功能
-3D圖形加速顯示晶片
-通過NCC與BSMI認證",https://tw.buy.yahoo.com/gdsale/AGTOP銀鼎-AGFUN-Box互動式電視盒-6224557.html
精選品牌,日象柔芯微電腦溫控電熱毯 ZOG-2230C,"$1,881","‧健康舒眠 
‧舒適安全 
‧除濕暖被 
‧微電腦九段定時
‧智慧型自動恆溫",https://tw.buy.yahoo.com/gdsale/-4847156.html
精選品牌,SodaSparkle舒打健康氣泡水機-白色經典款-單瓶組- SS-SK-1L-WH,"$2,580","‧輕鬆一轉五秒氣泡水DIY 
‧零卡零熱量無糖汽水
‧促進腸胃蠕動
‧加速新陳代謝",https://tw.buy.yahoo.com/gdsale/SodaSparkle舒打健康氣泡水機-白色經典款-6227164.html
精選品牌,Wanderlust+Co 澳洲品牌 鑲鑽新月項鍊 金色迷你款 LUNA PAVE,"$1,112","‧來自澳洲的潮牌Wanderlust+Co 手工製造
‧天馬行空的玩味風格 精緻時尚的金屬飾品
‧關注細節的設計 性感得恰到好處
‧全球IG時尚部落客的最愛 一定要擁有",https://tw.buy.yahoo.com/gdsale/Wanderlust-Co-澳洲品牌-鑲鑽新月項鍊-7776908.html
精選品牌,Cuisinart 美膳雅 直立式鬆餅機 WAF-V100TW,"$1,980","‧-創新直立式設計 
‧-麵糊注入口方便倒入鬆餅糊 
‧-麵糊不液流，乾淨省時 
‧-五段烘烤溫度選擇 
‧-烘烤完畢提示聲 
‧-附鬆餅糊量杯及食譜 
‧-BPA Free 不含環境賀爾蒙雙酚A",https://tw.buy.yahoo.com/gdsale/Cuisinart-美膳雅-直立式鬆餅機-WAF--6562506.html
精選品牌,Sodastream時尚風自動扣瓶氣泡水機Spirit (白),"$4,800","‧全球家用氣泡水機第一品牌 
‧極簡流線、都會時尚 
‧自動扣瓶 
‧隨心所欲調整氣泡量 
‧添加糖漿、果汁、酒，製作各式調飲",https://tw.buy.yahoo.com/gdsale/Sodastream時尚風自動扣瓶氣泡水機Spir-7703375.html
精選品牌,QBTV 博思盒子 4K 台灣版 藍芽 智慧電視盒 原廠 公司貨 高清直播神器,"$4,066","‧直播：台灣頻道和第四台相同,一共300多個頻道
‧點播：海量國內外影集電影，及別間沒有的布袋戲、歌仔戲及台灣鄉土劇
‧體育頻道：體育頻道最多最齊全",https://tw.buy.yahoo.com/gdsale/QBTV-博思盒子-4K-台灣版-藍芽-智慧電視盒-7628562.html
精選品牌,Panasonic 國際牌27公升微電腦變頻微波爐 NN-SF564,"$5,700","‧微電腦觸控式操作面板
‧特易潔塗裝爐體
‧19項自動烹調
‧無轉盤平面設計",https://tw.buy.yahoo.com/gdsale/Panasonic-國際牌27公升微電腦變頻微波爐-6121028.html
精選品牌,美國原廠 EVERPURE S54 濾心(平行輸入),"$1,350","‧此濾心含除鉛功效
‧附贈到期警示器
‧超環保！超輕巧！
‧安裝、更換濾芯迅速簡易
‧美國原廠平行輸入全新品",https://tw.buy.yahoo.com/gdsale/美國原廠-EVERPURE-S54-濾心平行輸入-7388529.html
精選品牌,Wanderlust+Co 澳洲品牌 古典銀河星球項鍊 金色雙面項鍊 ORBIT,"$1,352","‧來自澳洲的潮牌Wanderlust+Co 手工製造
‧天馬行空的玩味風格 精緻時尚的金屬飾品
‧關注細節的設計 性感得恰到好處
‧全球IG時尚部落客的最愛 一定要擁有",https://tw.buy.yahoo.com/gdsale/Wanderlust-Co-澳洲品牌-古典銀河星球-7650298.html
精選品牌,SAMPO聲寶 紫外線抑菌烘碗機 KB-GA30U,"$2,990","‧防蟑專利結構設計
‧玻璃門框防敲保護專利
‧獨立控制紫外線抑菌
‧四段烘乾時間選擇",https://tw.buy.yahoo.com/gdsale/-4092232.html
精選品牌,Panasonic國際牌微電腦微波烤箱 NN-GD37H,"$5,480","‧時短/美味/節能
‧微波燒烤同時料理
‧6段火力調節
‧15項自動烹調
‧轉盤式設計",https://tw.buy.yahoo.com/gdsale/國際牌微電腦微波烤箱NN-GD37H-7461442.html
